Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,0,0,0,-0.1,-0.2
344,B,1,0,0,0,-0.1,-0.2
344,C,1,0,0,0,-0.1,-0.2
344,D,1,0,0,0,-0.1,-0.2
344,E,1,20,5.080440305,0,-0.1,-0.2
345,A,1,0,0,0,-0.1,-0.2
345,B,1,0,0,0,-0.1,-0.2
345,C,1,0,0,0,-0.1,-0.2
345,D,1,0,0,0,-0.1,-0.2
345,E,1,19,4.82641829,0,-0.1,-0.2
346,A,1,0,0,0,-0.1,-0.2
346,B,1,0,0,0,-0.1,-0.2
346,C,1,0,0,0,-0.1,-0.2
346,D,1,0,0,0,-0.1,-0.2
346,E,1,19,4.82641829,0,-0.1,-0.2
347,A,1,0,0,0,-0.1,-0.2
347,B,1,0,0,0,-0.1,-0.2
347,C,1,0,0,0,-0.1,-0.2
347,D,1,0,0,0,-0.1,-0.2
347,E,1,22,5.588484335,0,-0.1,-0.2
348,A,1,0,0,0,-0.1,-0.2
348,B,1,0,0,0,-0.1,-0.2
348,C,1,0,0,0,-0.1,-0.2
348,D,1,0,0,0,-0.1,-0.2
348,E,1,21,5.33446232,0,-0.1,-0.2
349,A,1,1,0.262620368,0,-0.1,-0.2
349,B,1,0,0,0,-0.1,-0.2
349,C,1,0,0,0,-0.1,-0.2
349,D,1,0,0,0,-0.1,-0.2
349,E,1,35,8.890770533,0,-0.1,-0.2
350,A,1,1,0.262620368,0,-0.1,-0.2
350,B,1,0,0,0,-0.1,-0.2
350,C,1,0,0,0,-0.1,-0.2
350,D,1,0,0,0,-0.1,-0.2
350,E,1,42,10.66892464,0,-0.1,-0.2
351,A,1,0,0,0,-0.1,-0.2
351,B,1,0,0,0,-0.1,-0.2
351,C,1,0,0,0,-0.1,-0.2
351,D,1,0,0,0,-0.1,-0.2
351,E,1,24,6.096528366,0,-0.1,-0.2
352,A,1,0,0,0,-0.1,-0.2
352,B,1,0,0,0,-0.1,-0.2
352,C,1,0,0,0,-0.1,-0.2
352,D,1,0,0,0,-0.1,-0.2
352,E,1,24,6.096528366,0,-0.1,-0.2
353,A,1,0,0,0,-0.1,-0.2
353,B,1,0,0,0,-0.1,-0.2
353,C,1,0,0,0,-0.1,-0.2
353,D,1,0,0,0,-0.1,-0.2
353,E,1,20,5.080440305,0,-0.1,-0.2
354,A,1,0,0,0,-0.1,-0.2
354,B,1,0,0,0,-0.1,-0.2
354,C,1,0,0,0,-0.1,-0.2
354,D,1,0,0,0,-0.1,-0.2
354,E,1,18,4.572396274,0,-0.1,-0.2
355,A,1,0,0,0,-0.1,-0.2
355,B,1,0,0,0,-0.1,-0.2
355,C,1,0,0,0,-0.1,-0.2
355,D,1,0,0,0,-0.1,-0.2
355,E,1,24,6.096528366,0,-0.1,-0.2
END SIM,,,,,,,
344,A,1,0,0,0,-0.1,-0.2
344,B,1,0,0,0,-0.1,-0.2
344,C,1,3,0.732899023,0,-0.1,-0.2
344,D,1,0,0,0,-0.1,-0.2
344,E,1,158,40.13547841,0,-0.1,-0.2
345,A,1,0,0,0,-0.1,-0.2
345,B,1,0,0,0,-0.1,-0.2
345,C,1,3,0.732899023,0,-0.1,-0.2
345,D,1,0,0,0,-0.1,-0.2
345,E,1,157,39.88145639,0,-0.1,-0.2
346,A,1,0,0,0,-0.1,-0.2
346,B,1,0,0,0,-0.1,-0.2
346,C,1,3,0.732899023,0,-0.1,-0.2
346,D,1,0,0,0,-0.1,-0.2
346,E,1,148,37.59525826,0,-0.1,-0.2
347,A,1,0,0,0,-0.1,-0.2
347,B,1,0,0,0,-0.1,-0.2
347,C,1,2,0.488599349,0,-0.1,-0.2
347,D,1,0,0,0,-0.1,-0.2
347,E,1,152,38.61134632,0,-0.1,-0.2
348,A,1,0,0,0,-0.1,-0.2
348,B,1,0,0,0,-0.1,-0.2
348,C,1,3,0.732899023,0,-0.1,-0.2
348,D,1,0,0,0,-0.1,-0.2
348,E,1,147,37.34123624,0,-0.1,-0.2
349,A,1,0,0,0,-0.1,-0.2
349,B,1,0,0,0,-0.1,-0.2
349,C,1,4,0.977198697,0,-0.1,-0.2
349,D,1,0,0,0,-0.1,-0.2
349,E,1,209,53.09060119,0,-0.1,-0.2
350,A,1,0,0,0,-0.1,-0.2
350,B,1,0,0,0,-0.1,-0.2
350,C,1,5,1.221498371,0,-0.1,-0.2
350,D,1,0,0,0,-0.1,-0.2
350,E,1,210,53.3446232,0,-0.1,-0.2
351,A,1,0,0,0,-0.1,-0.2
351,B,1,0,0,0,-0.1,-0.2
351,C,1,2,0.488599349,0,-0.1,-0.2
351,D,1,0,0,0,-0.1,-0.2
351,E,1,133,33.78492803,0,-0.1,-0.2
352,A,1,0,0,0,-0.1,-0.2
352,B,1,0,0,0,-0.1,-0.2
352,C,1,2,0.488599349,0,-0.1,-0.2
352,D,1,0,0,0,-0.1,-0.2
352,E,1,130,33.02286198,0,-0.1,-0.2
353,A,1,0,0,0,-0.1,-0.2
353,B,1,0,0,0,-0.1,-0.2
353,C,1,2,0.488599349,0,-0.1,-0.2
353,D,1,0,0,0,-0.1,-0.2
353,E,1,121,30.73666384,0,-0.1,-0.2
354,A,1,0,0,0,-0.1,-0.2
354,B,1,0,0,0,-0.1,-0.2
354,C,1,2,0.488599349,0,-0.1,-0.2
354,D,1,0,0,0,-0.1,-0.2
354,E,1,117,29.72057578,0,-0.1,-0.2
355,A,1,0,0,0,-0.1,-0.2
355,B,1,0,0,0,-0.1,-0.2
355,C,1,1,0.244299674,0,-0.1,-0.2
355,D,1,0,0,0,-0.1,-0.2
355,E,1,157,39.88145639,0,-0.1,-0.2
END SIM,,,,,,,
344,A,1,0,0,0,-0.1,-0.2
344,B,1,0,0,0,-0.1,-0.2
344,C,1,143,34.93485342,0,-0.1,-0.2
344,D,1,0,0,0,-0.1,-0.2
344,E,1,266,67.56985605,0,-0.1,-0.2
345,A,1,0,0,0,-0.1,-0.2
345,B,1,0,0,0,-0.1,-0.2
345,C,1,142,34.69055375,0,-0.1,-0.2
345,D,1,0,0,0,-0.1,-0.2
345,E,1,256,65.0296359,0,-0.1,-0.2
346,A,1,0,0,0,-0.1,-0.2
346,B,1,0,0,0,-0.1,-0.2
346,C,1,138,33.71335505,0,-0.1,-0.2
346,D,1,0,0,0,-0.1,-0.2
346,E,1,247,62.74343776,0,-0.1,-0.2
347,A,1,0,0,0,-0.1,-0.2
347,B,1,0,0,0,-0.1,-0.2
347,C,1,136,33.2247557,0,-0.1,-0.2
347,D,1,0,0,0,-0.1,-0.2
347,E,1,234,59.44115157,0,-0.1,-0.2
348,A,1,0,0,0,-0.1,-0.2
348,B,1,0,0,0,-0.1,-0.2
348,C,1,140,34.2019544,0,-0.1,-0.2
348,D,1,0,0,0,-0.1,-0.2
348,E,1,222,56.39288738,0,-0.1,-0.2
349,A,1,0,0,0,-0.1,-0.2
349,B,1,0,0,0,-0.1,-0.2
349,C,1,205,50.08143322,0,-0.1,-0.2
349,D,1,0,0,0,-0.1,-0.2
349,E,1,331,84.08128704,0,-0.1,-0.2
350,A,1,0,0,0,-0.1,-0.2
350,B,1,0,0,0,-0.1,-0.2
