Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,1168,306.7405894,0,0.1,-0.2
344,B,1,32,7.744017209,0,0.1,-0.2
344,C,1,793,193.7296417,0,0.1,-0.2
344,D,1,32,11.46953405,0,0.1,-0.2
344,E,1,29722,7550.042337,0,0.1,-0.2
345,A,1,1151,302.2760432,0,0.1,-0.2
345,B,1,32,7.744017209,0,0.1,-0.2
345,C,1,779,190.3094463,0,0.1,-0.2
345,D,1,31,11.11111111,0,0.1,-0.2
345,E,1,29138,7401.69348,0,0.1,-0.2
346,A,1,1102,289.4076452,0,0.1,-0.2
346,B,1,30,7.260016133,0,0.1,-0.2
346,C,1,745,182.0032573,0,0.1,-0.2
346,D,1,31,11.11111111,0,0.1,-0.2
346,E,1,27854,7075.529213,0,0.1,-0.2
347,A,1,1092,286.7814415,0,0.1,-0.2
347,B,1,32,7.744017209,0,0.1,-0.2
347,C,1,767,187.3778502,0,0.1,-0.2
347,D,1,34,12.18637993,0,0.1,-0.2
347,E,1,27515,6989.415749,0,0.1,-0.2
348,A,1,1137,298.599358,0,0.1,-0.2
348,B,1,36,8.71201936,0,0.1,-0.2
348,C,1,820,200.3257329,0,0.1,-0.2
348,D,1,35,12.54480287,0,0.1,-0.2
348,E,1,28407,7216.003387,0,0.1,-0.2
349,A,1,1739,456.6968194,0,0.1,-0.2
349,B,1,61,14.7620328,0,0.1,-0.2
349,C,1,1294,316.1237785,0,0.1,-0.2
349,D,1,50,17.92114695,0,0.1,-0.2
349,E,1,42521,10801.27011,0,0.1,-0.2
350,A,1,2016,529.4426612,0,0.1,-0.2
350,B,1,76,18.39204087,0,0.1,-0.2
350,C,1,1518,370.8469055,0,0.1,-0.2
350,D,1,63,22.58064516,0,0.1,-0.2
350,E,1,49156,12486.70618,0,0.1,-0.2
351,A,1,1312,344.5579224,0,0.1,-0.2
351,B,1,42,10.16402259,0,0.1,-0.2
351,C,1,1005,245.5211726,0,0.1,-0.2
351,D,1,37,13.26164875,0,0.1,-0.2
351,E,1,31705,8053.767993,0,0.1,-0.2
352,A,1,1251,328.53808,0,0.1,-0.2
352,B,1,40,9.680021511,0,0.1,-0.2
352,C,1,953,232.8175896,0,0.1,-0.2
352,D,1,36,12.90322581,0,0.1,-0.2
352,E,1,30242,7682.133785,0,0.1,-0.2
353,A,1,1190,312.5182375,0,0.1,-0.2
353,B,1,37,8.954019898,0,0.1,-0.2
353,C,1,915,223.534202,0,0.1,-0.2
353,D,1,36,12.90322581,0,0.1,-0.2
353,E,1,28570,7257.408975,0,0.1,-0.2
354,A,1,1235,324.3361541,0,0.1,-0.2
354,B,1,39,9.438020973,0,0.1,-0.2
354,C,1,906,221.3355049,0,0.1,-0.2
354,D,1,35,12.54480287,0,0.1,-0.2
354,E,1,28905,7342.506351,0,0.1,-0.2
355,A,1,1497,393.1426904,0,0.1,-0.2
355,B,1,44,10.64802366,0,0.1,-0.2
355,C,1,1098,268.2410423,0,0.1,-0.2
355,D,1,44,15.77060932,0,0.1,-0.2
355,E,1,35148,8928.365792,0,0.1,-0.2
END SIM,,,,,,,
344,A,1,1763,462.9997082,0,0.1,-0.2
344,B,1,41,9.922022049,0,0.1,-0.2
344,C,1,2332,569.7068404,0,0.1,-0.2
344,D,1,5,1.792114695,0,0.1,-0.2
344,E,1,34287,8709.652837,0,0.1,-0.2
345,A,1,1723,452.4948935,0,0.1,-0.2
345,B,1,41,9.922022049,0,0.1,-0.2
345,C,1,2297,561.1563518,0,0.1,-0.2
345,D,1,4,1.433691756,0,0.1,-0.2
345,E,1,33649,8547.586791,0,0.1,-0.2
346,A,1,1642,431.2226437,0,0.1,-0.2
346,B,1,39,9.438020973,0,0.1,-0.2
346,C,1,2186,534.0390879,0,0.1,-0.2
346,D,1,4,1.433691756,0,0.1,-0.2
346,E,1,32188,8176.460627,0,0.1,-0.2
347,A,1,1631,428.3338197,0,0.1,-0.2
347,B,1,42,10.16402259,0,0.1,-0.2
347,C,1,2161,527.9315961,0,0.1,-0.2
347,D,1,4,1.433691756,0,0.1,-0.2
347,E,1,31561,8017.188823,0,0.1,-0.2
348,A,1,1705,447.7677269,0,0.1,-0.2
348,B,1,52,12.58402796,0,0.1,-0.2
348,C,1,2250,549.6742671,0,0.1,-0.2
348,D,1,3,1.075268817,0,0.1,-0.2
348,E,1,32513,8259.017782,0,0.1,-0.2
349,A,1,2677,703.0347242,0,0.1,-0.2
349,B,1,72,17.42403872,0,0.1,-0.2
349,C,1,3558,869.218241,0,0.1,-0.2
349,D,1,6,2.150537634,0,0.1,-0.2
349,E,1,48272,12262.15072,0,0.1,-0.2
350,A,1,3062,804.1435658,0,0.1,-0.2
350,B,1,87,21.05404679,0,0.1,-0.2
350,C,1,4129,1008.713355,0,0.1,-0.2
350,D,1,7,2.508960573,0,0.1,-0.2
350,E,1,55691,14146.74005,0,0.1,-0.2
351,A,1,2026,532.0688649,0,0.1,-0.2
351,B,1,59,14.27803173,0,0.1,-0.2
351,C,1,2689,656.9218241,0,0.1,-0.2
351,D,1,4,1.433691756,0,0.1,-0.2
351,E,1,35878,9113.801863,0,0.1,-0.2
352,A,1,1940,509.4835133,0,0.1,-0.2
352,B,1,55,13.31002958,0,0.1,-0.2
352,C,1,2559,625.1628664,0,0.1,-0.2
352,D,1,4,1.433691756,0,0.1,-0.2
352,E,1,34172,8680.440305,0,0.1,-0.2
353,A,1,1829,480.3326525,0,0.1,-0.2
353,B,1,49,11.85802635,0,0.1,-0.2
353,C,1,2412,589.2508143,0,0.1,-0.2
353,D,1,2,0.716845878,0,0.1,-0.2
353,E,1,32273,8198.052498,0,0.1,-0.2
354,A,1,1865,489.7869857,0,0.1,-0.2
354,B,1,54,13.06802904,0,0.1,-0.2
354,C,1,2420,591.2052117,0,0.1,-0.2
354,D,1,2,0.716845878,0,0.1,-0.2
354,E,1,32679,8301.185436,0,0.1,-0.2
355,A,1,2305,605.3399475,0,0.1,-0.2
355,B,1,65,15.73003496,0,0.1,-0.2
355,C,1,2962,723.6156352,0,0.1,-0.2
355,D,1,4,1.433691756,0,0.1,-0.2
355,E,1,39619,10064.09822,0,0.1,-0.2
END SIM,,,,,,,
344,A,1,176,46.22118471,0,0.1,-0.2
344,B,1,24,5.808012907,0,0.1,-0.2
344,C,1,2533,618.8110749,0,0.1,-0.2
344,D,1,0,0,0,0.1,-0.2
344,E,1,23213,5896.61304,0,0.1,-0.2
345,A,1,175,45.95856434,0,0.1,-0.2
345,B,1,24,5.808012907,0,0.1,-0.2
345,C,1,2482,606.3517915,0,0.1,-0.2
345,D,1,0,0,0,0.1,-0.2
345,E,1,22791,5789.415749,0,0.1,-0.2
346,A,1,169,44.38284214,0,0.1,-0.2
346,B,1,25,6.050013444,0,0.1,-0.2
346,C,1,2377,580.7003257,0,0.1,-0.2
346,D,1,0,0,0,0.1,-0.2
346,E,1,21813,5540.982218,0,0.1,-0.2
347,A,1,152,39.91829589,0,0.1,-0.2
347,B,1,17,4.114009142,0,0.1,-0.2
347,C,1,2355,575.3257329,0,0.1,-0.2
347,D,1,0,0,0,0.1,-0.2
347,E,1,21293,5408.890771,0,0.1,-0.2
348,A,1,152,39.91829589,0,0.1,-0.2
348,B,1,20,4.840010756,0,0.1,-0.2
348,C,1,2419,590.9609121,0,0.1,-0.2
348,D,1,0,0,0,0.1,-0.2
348,E,1,21894,5561.558002,0,0.1,-0.2
349,A,1,231,60.66530493,0,0.1,-0.2
349,B,1,35,8.470018822,0,0.1,-0.2
349,C,1,3715,907.5732899,0,0.1,-0.2
349,D,1,0,0,0,0.1,-0.2
349,E,1,32710,8309.060119,0,0.1,-0.2
350,A,1,263,69.0691567,0,0.1,-0.2
350,B,1,45,10.8900242,0,0.1,-0.2
350,C,1,4361,1065.390879,0,0.1,-0.2
350,D,1,1,0.358422939,0,0.1,-0.2
350,E,1,37559,9540.81287,0,0.1,-0.2
351,A,1,175,45.95856434,0,0.1,-0.2
351,B,1,25,6.050013444,0,0.1,-0.2
351,C,1,2869,700.8957655,0,0.1,-0.2
351,D,1,0,0,0,0.1,-0.2
351,E,1,24258,6162.066046,0,0.1,-0.2
352,A,1,167,43.8576014,0,0.1,-0.2
352,B,1,25,6.050013444,0,0.1,-0.2
352,C,1,2734,667.9153094,0,0.1,-0.2
352,D,1,0,0,0,0.1,-0.2
352,E,1,23113,5871.210838,0,0.1,-0.2
353,A,1,156,40.96877736,0,0.1,-0.2
353,B,1,23,5.566012369,0,0.1,-0.2
353,C,1,2568,627.3615635,0,0.1,-0.2
353,D,1,0,0,0,0.1,-0.2
353,E,1,21876,5556.985605,0,0.1,-0.2
354,A,1,152,39.91829589,0,0.1,-0.2
354,B,1,24,5.808012907,0,0.1,-0.2
354,C,1,2560,625.4071661,0,0.1,-0.2
354,D,1,0,0,0,0.1,-0.2
354,E,1,22233,5647.671465,0,0.1,-0.2
355,A,1,186,48.84738839,0,0.1,-0.2
355,B,1,32,7.744017209,0,0.1,-0.2
355,C,1,3151,769.7882736,0,0.1,-0.2
355,D,1,0,0,0,0.1,-0.2
355,E,1,27207,6911.176969,0,0.1,-0.2
END SIM,,,,,,,
344,A,1,864,226.9039977,0,0.1,-0.2
344,B,1,62,15.00403334,0,0.1,-0.2
344,C,1,1600,390.8794788,0,0.1,-0.2
344,D,1,0,0,0,0.1,-0.2
344,E,1,22650,5753.598645,0,0.1,-0.2
345,A,1,838,220.0758681,0,0.1,-0.2
345,B,1,59,14.27803173,0,0.1,-0.2
345,C,1,1576,385.0162866,0,0.1,-0.2
345,D,1,0,0,0,0.1,-0.2
345,E,1,22186,5635.73243,0,0.1,-0.2
346,A,1,804,211.1467756,0,0.1,-0.2
346,B,1,56,13.55203012,0,0.1,-0.2
346,C,1,1493,364.7394137,0,0.1,-0.2
346,D,1,0,0,0,0.1,-0.2
346,E,1,21218,5389.839119,0,0.1,-0.2
347,A,1,787,206.6822294,0,0.1,-0.2
347,B,1,52,12.58402796,0,0.1,-0.2
347,C,1,1480,361.5635179,0,0.1,-0.2
347,D,1,0,0,0,0.1,-0.2
347,E,1,20822,5289.246401,0,0.1,-0.2
348,A,1,808,212.1972571,0,0.1,-0.2
348,B,1,61,14.7620328,0,0.1,-0.2
348,C,1,1591,388.6807818,0,0.1,-0.2
348,D,1,0,0,0,0.1,-0.2
348,E,1,21448,5448.264183,0,0.1,-0.2
349,A,1,1291,339.0428947,0,0.1,-0.2
349,B,1,83,20.08604464,0,0.1,-0.2
349,C,1,2463,601.7100977,0,0.1,-0.2
349,D,1,1,0.358422939,0,0.1,-0.2
349,E,1,31916,8107.366638,0,0.1,-0.2
350,A,1,1491,391.5669682,0,0.1,-0.2
350,B,1,92,22.26404948,0,0.1,-0.2
350,C,1,2887,705.2931596,0,0.1,-0.2
350,D,1,1,0.358422939,0,0.1,-0.2
350,E,1,36792,9345.977985,0,0.1,-0.2
351,A,1,996,261.5698862,0,0.1,-0.2
351,B,1,64,15.48803442,0,0.1,-0.2
351,C,1,1880,459.2833876,0,0.1,-0.2
351,D,1,1,0.358422939,0,0.1,-0.2
351,E,1,23670,6012.701101,0,0.1,-0.2
352,A,1,942,247.3883863,0,0.1,-0.2
352,B,1,63,15.24603388,0,0.1,-0.2
352,C,1,1797,439.0065147,0,0.1,-0.2
352,D,1,1,0.358422939,0,0.1,-0.2
352,E,1,22546,5727.180356,0,0.1,-0.2
353,A,1,874,229.5302013,0,0.1,-0.2
353,B,1,57,13.79403065,0,0.1,-0.2
353,C,1,1699,415.0651466,0,0.1,-0.2
353,D,1,0,0,0,0.1,-0.2
353,E,1,21313,5413.971211,0,0.1,-0.2
354,A,1,873,229.267581,0,0.1,-0.2
354,B,1,53,12.8260285,0,0.1,-0.2
354,C,1,1660,405.5374593,0,0.1,-0.2
354,D,1,0,0,0,0.1,-0.2
354,E,1,21694,5510.753599,0,0.1,-0.2
355,A,1,1074,282.0542749,0,0.1,-0.2
355,B,1,72,17.42403872,0,0.1,-0.2
355,C,1,1961,479.0716612,0,0.1,-0.2
355,D,1,1,0.358422939,0,0.1,-0.2
355,E,1,26372,6699.068586,0,0.1,-0.2
END SIM,,,,,,,
344,A,1,751,197.2278961,0,0.1,-0.2
