Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,0,0,0,0,-0.3
344,B,1,0,0,0,0,-0.3
344,C,1,122,29.804560260586317,0,0,-0.3
344,D,1,0,0,0,0,-0.3
344,E,1,594,150.88907705334464,0,0,-0.3
345,A,1,0,0,0,0,-0.3
345,B,1,0,0,0,0,-0.3
345,C,1,122,29.804560260586317,0,0,-0.3
345,D,1,0,0,0,0,-0.3
345,E,1,585,148.60287891617273,0,0,-0.3
346,A,1,0,0,0,0,-0.3
346,B,1,0,0,0,0,-0.3
346,C,1,115,28.09446254071661,0,0,-0.3
346,D,1,0,0,0,0,-0.3
346,E,1,562,142.76037256562236,0,0,-0.3
347,A,1,0,0,0,0,-0.3
347,B,1,0,0,0,0,-0.3
347,C,1,117,28.58306188925081,0,0,-0.3
347,D,1,0,0,0,0,-0.3
347,E,1,554,140.7281964436918,0,0,-0.3
348,A,1,0,0,0,0,-0.3
348,B,1,0,0,0,0,-0.3
348,C,1,114,27.85016286644951,0,0,-0.3
348,D,1,0,0,0,0,-0.3
348,E,1,563,143.01439458086367,0,0,-0.3
349,A,1,0,0,0,0,-0.3
349,B,1,0,0,0,0,-0.3
349,C,1,195,47.638436482084686,0,0,-0.3
349,D,1,0,0,0,0,-0.3
349,E,1,818,207.79000846740053,0,0,-0.3
350,A,1,0,0,0,0,-0.3
350,B,1,0,0,0,0,-0.3
350,C,1,213,52.035830618892504,0,0,-0.3
350,D,1,0,0,0,0,-0.3
350,E,1,917,232.9381879762913,0,0,-0.3
351,A,1,0,0,0,0,-0.3
351,B,1,0,0,0,0,-0.3
351,C,1,146,35.667752442996736,0,0,-0.3
351,D,1,0,0,0,0,-0.3
351,E,1,556,141.23624047417442,0,0,-0.3
352,A,1,0,0,0,0,-0.3
352,B,1,0,0,0,0,-0.3
352,C,1,142,34.690553745928334,0,0,-0.3
352,D,1,0,0,0,0,-0.3
352,E,1,526,133.6155800169348,0,0,-0.3
353,A,1,0,0,0,0,-0.3
353,B,1,0,0,0,0,-0.3
353,C,1,136,33.22475570032573,0,0,-0.3
353,D,1,0,0,0,0,-0.3
353,E,1,488,123.96274343776462,0,0,-0.3
354,A,1,0,0,0,0,-0.3
354,B,1,0,0,0,0,-0.3
354,C,1,146,35.667752442996736,0,0,-0.3
354,D,1,0,0,0,0,-0.3
354,E,1,473,120.1524132091448,0,0,-0.3
355,A,1,0,0,0,0,-0.3
355,B,1,0,0,0,0,-0.3
355,C,1,172,42.01954397394137,0,0,-0.3
355,D,1,0,0,0,0,-0.3
355,E,1,607,154.1913632514818,0,0,-0.3
END SIM
344,A,1,54,14.181499854099796,0,0,-0.3
344,B,1,4,0.9680021511158913,0,0,-0.3
344,C,1,57,13.925081433224754,0,0,-0.3
344,D,1,0,0,0,0,-0.3
344,E,1,2889,733.8696020321761,0,0,-0.3
345,A,1,53,13.91887948643128,0,0,-0.3
345,B,1,4,0.9680021511158913,0,0,-0.3
345,C,1,57,13.925081433224754,0,0,-0.3
345,D,1,0,0,0,0,-0.3
345,E,1,2829,718.6282811176969,0,0,-0.3
346,A,1,50,13.131018383425737,0,0,-0.3
346,B,1,5,1.210002688894864,0,0,-0.3
346,C,1,55,13.436482084690553,0,0,-0.3
346,D,1,0,0,0,0,-0.3
346,E,1,2689,683.065198983912,0,0,-0.3
347,A,1,42,11.030055442077618,0,0,-0.3
347,B,1,6,1.452003226673837,0,0,-0.3
347,C,1,52,12.70358306188925,0,0,-0.3
347,D,1,0,0,0,0,-0.3
347,E,1,2548,647.2480948348857,0,0,-0.3
348,A,1,52,13.656259118762765,0,0,-0.3
348,B,1,8,1.9360043022317825,0,0,-0.3
348,C,1,52,12.70358306188925,0,0,-0.3
348,D,1,0,0,0,0,-0.3
348,E,1,2611,663.2514817950889,0,0,-0.3
349,A,1,78,20.48438867814415,0,0,-0.3
349,B,1,7,1.6940037644528099,0,0,-0.3
349,C,1,83,20.276872964169378,0,0,-0.3
349,D,1,0,0,0,0,-0.3
349,E,1,3862,981.0330228619814,0,0,-0.3
350,A,1,92,24.161073825503355,0,0,-0.3
350,B,1,10,2.420005377789728,0,0,-0.3
350,C,1,85,20.76547231270358,0,0,-0.3
350,D,1,0,0,0,0,-0.3
350,E,1,4390,1115.156646909399,0,0,-0.3
351,A,1,51,13.393638751094251,0,0,-0.3
351,B,1,7,1.6940037644528099,0,0,-0.3
351,C,1,59,14.413680781758956,0,0,-0.3
351,D,1,0,0,0,0,-0.3
351,E,1,2702,686.3674851820491,0,0,-0.3
352,A,1,49,12.868398015757222,0,0,-0.3
352,B,1,7,1.6940037644528099,0,0,-0.3
352,C,1,55,13.436482084690553,0,0,-0.3
352,D,1,0,0,0,0,-0.3
352,E,1,2551,648.0101608806096,0,0,-0.3
353,A,1,47,12.343157280420192,0,0,-0.3
353,B,1,6,1.452003226673837,0,0,-0.3
353,C,1,53,12.94788273615635,0,0,-0.3
353,D,1,0,0,0,0,-0.3
353,E,1,2426,616.2574089754446,0,0,-0.3
354,A,1,44,11.555296177414649,0,0,-0.3
354,B,1,6,1.452003226673837,0,0,-0.3
354,C,1,55,13.436482084690553,0,0,-0.3
354,D,1,0,0,0,0,-0.3
354,E,1,2432,617.7815410668925,0,0,-0.3
355,A,1,62,16.282462795447913,0,0,-0.3
355,B,1,6,1.452003226673837,0,0,-0.3
355,C,1,66,16.123778501628664,0,0,-0.3
355,D,1,0,0,0,0,-0.3
355,E,1,2979,756.731583403895,0,0,-0.3
