Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,6,1.5757222060110883,0,-0.1,0.2
344,B,1,0,0,0,-0.1,0.2
344,C,1,110,26.872964169381106,0,-0.1,0.2
344,D,1,0,0,0,-0.1,0.2
344,E,1,80,20.321761219305674,0,-0.1,0.2
345,A,1,6,1.5757222060110883,0,-0.1,0.2
345,B,1,0,0,0,-0.1,0.2
345,C,1,109,26.628664495114005,0,-0.1,0.2
345,D,1,0,0,0,-0.1,0.2
345,E,1,80,20.321761219305674,0,-0.1,0.2
346,A,1,5,1.3131018383425737,0,-0.1,0.2
346,B,1,0,0,0,-0.1,0.2
346,C,1,103,25.162866449511398,0,-0.1,0.2
346,D,1,0,0,0,-0.1,0.2
346,E,1,77,19.559695173581712,0,-0.1,0.2
347,A,1,6,1.5757222060110883,0,-0.1,0.2
347,B,1,0,0,0,-0.1,0.2
347,C,1,102,24.918566775244297,0,-0.1,0.2
347,D,1,0,0,0,-0.1,0.2
347,E,1,84,21.33784928027096,0,-0.1,0.2
348,A,1,4,1.0504814706740588,0,-0.1,0.2
348,B,1,0,0,0,-0.1,0.2
348,C,1,98,23.941368078175895,0,-0.1,0.2
348,D,1,0,0,0,-0.1,0.2
348,E,1,69,17.527519051651144,0,-0.1,0.2
349,A,1,5,1.3131018383425737,0,-0.1,0.2
349,B,1,0,0,0,-0.1,0.2
349,C,1,124,30.29315960912052,0,-0.1,0.2
349,D,1,0,0,0,-0.1,0.2
349,E,1,89,22.60795935647756,0,-0.1,0.2
350,A,1,3,0.7878611030055441,0,-0.1,0.2
350,B,1,0,0,0,-0.1,0.2
350,C,1,118,28.82736156351791,0,-0.1,0.2
350,D,1,0,0,0,-0.1,0.2
350,E,1,78,19.81371718882303,0,-0.1,0.2
351,A,1,3,0.7878611030055441,0,-0.1,0.2
351,B,1,0,0,0,-0.1,0.2
351,C,1,80,19.543973941368076,0,-0.1,0.2
351,D,1,0,0,0,-0.1,0.2
351,E,1,54,13.71718882303133,0,-0.1,0.2
352,A,1,3,0.7878611030055441,0,-0.1,0.2
352,B,1,0,0,0,-0.1,0.2
352,C,1,75,18.322475570032573,0,-0.1,0.2
352,D,1,0,0,0,-0.1,0.2
352,E,1,51,12.955122777307366,0,-0.1,0.2
353,A,1,3,0.7878611030055441,0,-0.1,0.2
353,B,1,0,0,0,-0.1,0.2
353,C,1,71,17.345276872964167,0,-0.1,0.2
353,D,1,0,0,0,-0.1,0.2
353,E,1,50,12.701100762066046,0,-0.1,0.2
354,A,1,2,0.5252407353370294,0,-0.1,0.2
354,B,1,0,0,0,-0.1,0.2
354,C,1,73,17.833876221498368,0,-0.1,0.2
354,D,1,0,0,0,-0.1,0.2
354,E,1,52,13.209144792548688,0,-0.1,0.2
355,A,1,3,0.7878611030055441,0,-0.1,0.2
355,B,1,0,0,0,-0.1,0.2
355,C,1,87,21.254071661237784,0,-0.1,0.2
355,D,1,0,0,0,-0.1,0.2
355,E,1,68,17.27349703640982,0,-0.1,0.2
END SIM
344,A,1,0,0,0,-0.1,0.2
344,B,1,0,0,0,-0.1,0.2
344,C,1,2,0.4885993485342019,0,-0.1,0.2
344,D,1,0,0,0,-0.1,0.2
344,E,1,189,48.010160880609654,0,-0.1,0.2
345,A,1,0,0,0,-0.1,0.2
345,B,1,0,0,0,-0.1,0.2
345,C,1,2,0.4885993485342019,0,-0.1,0.2
345,D,1,0,0,0,-0.1,0.2
345,E,1,184,46.74005080440305,0,-0.1,0.2
346,A,1,0,0,0,-0.1,0.2
346,B,1,0,0,0,-0.1,0.2
346,C,1,2,0.4885993485342019,0,-0.1,0.2
346,D,1,0,0,0,-0.1,0.2
346,E,1,175,44.45385266723116,0,-0.1,0.2
347,A,1,0,0,0,-0.1,0.2
347,B,1,0,0,0,-0.1,0.2
347,C,1,1,0.24429967426710095,0,-0.1,0.2
347,D,1,0,0,0,-0.1,0.2
347,E,1,199,50.550381033022866,0,-0.1,0.2
348,A,1,0,0,0,-0.1,0.2
348,B,1,0,0,0,-0.1,0.2
348,C,1,1,0.24429967426710095,0,-0.1,0.2
348,D,1,0,0,0,-0.1,0.2
348,E,1,179,45.46994072819645,0,-0.1,0.2
349,A,1,0,0,0,-0.1,0.2
349,B,1,0,0,0,-0.1,0.2
349,C,1,0,0,0,-0.1,0.2
349,D,1,0,0,0,-0.1,0.2
349,E,1,235,59.695173581710414,0,-0.1,0.2
350,A,1,0,0,0,-0.1,0.2
350,B,1,0,0,0,-0.1,0.2
350,C,1,1,0.24429967426710095,0,-0.1,0.2
350,D,1,0,0,0,-0.1,0.2
350,E,1,240,60.96528365791702,0,-0.1,0.2
351,A,1,0,0,0,-0.1,0.2
351,B,1,0,0,0,-0.1,0.2
351,C,1,0,0,0,-0.1,0.2
351,D,1,0,0,0,-0.1,0.2
351,E,1,160,40.64352243861135,0,-0.1,0.2
352,A,1,0,0,0,-0.1,0.2
352,B,1,0,0,0,-0.1,0.2
352,C,1,0,0,0,-0.1,0.2
352,D,1,0,0,0,-0.1,0.2
352,E,1,150,38.10330228619814,0,-0.1,0.2
353,A,1,0,0,0,-0.1,0.2
353,B,1,0,0,0,-0.1,0.2
353,C,1,0,0,0,-0.1,0.2
353,D,1,0,0,0,-0.1,0.2
353,E,1,143,36.32514817950889,0,-0.1,0.2
354,A,1,0,0,0,-0.1,0.2
354,B,1,0,0,0,-0.1,0.2
354,C,1,0,0,0,-0.1,0.2
354,D,1,0,0,0,-0.1,0.2
354,E,1,146,37.087214225232856,0,-0.1,0.2
355,A,1,0,0,0,-0.1,0.2
355,B,1,0,0,0,-0.1,0.2
355,C,1,0,0,0,-0.1,0.2
355,D,1,0,0,0,-0.1,0.2
355,E,1,171,43.43776460626588,0,-0.1,0.2
END SIM
344,A,1,0,0,0,-0.1,0.2
344,B,1,0,0,0,-0.1,0.2
344,C,1,26,6.351791530944625,0,-0.1,0.2
344,D,1,0,0,0,-0.1,0.2
344,E,1,33,8.38272650296359,0,-0.1,0.2
345,A,1,0,0,0,-0.1,0.2
345,B,1,0,0,0,-0.1,0.2
345,C,1,26,6.351791530944625,0,-0.1,0.2
345,D,1,0,0,0,-0.1,0.2
345,E,1,33,8.38272650296359,0,-0.1,0.2
346,A,1,0,0,0,-0.1,0.2
346,B,1,0,0,0,-0.1,0.2
346,C,1,24,5.8631921824104225,0,-0.1,0.2
346,D,1,0,0,0,-0.1,0.2
346,E,1,33,8.38272650296359,0,-0.1,0.2
347,A,1,0,0,0,-0.1,0.2
347,B,1,0,0,0,-0.1,0.2
347,C,1,30,7.328990228013029,0,-0.1,0.2
347,D,1,0,0,0,-0.1,0.2
347,E,1,42,10.66892464013548,0,-0.1,0.2
348,A,1,0,0,0,-0.1,0.2
348,B,1,0,0,0,-0.1,0.2
348,C,1,27,6.596091205211726,0,-0.1,0.2
348,D,1,0,0,0,-0.1,0.2
348,E,1,35,8.890770533446233,0,-0.1,0.2
349,A,1,0,0,0,-0.1,0.2
349,B,1,0,0,0,-0.1,0.2
349,C,1,38,9.283387622149837,0,-0.1,0.2
349,D,1,0,0,0,-0.1,0.2
349,E,1,47,11.939034716342084,0,-0.1,0.2
350,A,1,0,0,0,-0.1,0.2
350,B,1,0,0,0,-0.1,0.2
350,C,1,39,9.527687296416937,0,-0.1,0.2
350,D,1,0,0,0,-0.1,0.2
350,E,1,44,11.176968670618121,0,-0.1,0.2
351,A,1,0,0,0,-0.1,0.2
351,B,1,0,0,0,-0.1,0.2
351,C,1,29,7.0846905537459275,0,-0.1,0.2
351,D,1,0,0,0,-0.1,0.2
351,E,1,35,8.890770533446233,0,-0.1,0.2
352,A,1,0,0,0,-0.1,0.2
352,B,1,0,0,0,-0.1,0.2
352,C,1,27,6.596091205211726,0,-0.1,0.2
352,D,1,0,0,0,-0.1,0.2
352,E,1,35,8.890770533446233,0,-0.1,0.2
353,A,1,0,0,0,-0.1,0.2
353,B,1,0,0,0,-0.1,0.2
353,C,1,25,6.107491856677524,0,-0.1,0.2
353,D,1,0,0,0,-0.1,0.2
353,E,1,35,8.890770533446233,0,-0.1,0.2
354,A,1,0,0,0,-0.1,0.2
354,B,1,0,0,0,-0.1,0.2
354,C,1,25,6.107491856677524,0,-0.1,0.2
354,D,1,0,0,0,-0.1,0.2
354,E,1,35,8.890770533446233,0,-0.1,0.2
355,A,1,0,0,0,-0.1,0.2
355,B,1,0,0,0,-0.1,0.2
355,C,1,31,7.57328990228013,0,-0.1,0.2
355,D,1,0,0,0,-0.1,0.2
355,E,1,43,10.9229466553768,0,-0.1,0.2
END SIM
344,A,1,0,0,0,-0.1,0.2
344,B,1,0,0,0,-0.1,0.2
344,C,1,0,0,0,-0.1,0.2
344,D,1,0,0,0,-0.1,0.2
344,E,1,112,28.450465707027945,0,-0.1,0.2
345,A,1,0,0,0,-0.1,0.2
345,B,1,0,0,0,-0.1,0.2
345,C,1,0,0,0,-0.1,0.2
345,D,1,0,0,0,-0.1,0.2
345,E,1,111,28.196443691786623,0,-0.1,0.2
346,A,1,0,0,0,-0.1,0.2
346,B,1,0,0,0,-0.1,0.2
