Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,1,0.262620368,0,0.1,0.2
344,B,1,1,0.242000538,0,0.1,0.2
344,C,1,2381,581.6775244,0,0.1,0.2
344,D,1,0,0,0,0.1,0.2
344,E,1,4932,1252.836579,0,0.1,0.2
345,A,1,1,0.262620368,0,0.1,0.2
345,B,1,1,0.242000538,0,0.1,0.2
345,C,1,2351,574.3485342,0,0.1,0.2
345,D,1,0,0,0,0.1,0.2
345,E,1,4853,1232.76884,0,0.1,0.2
346,A,1,1,0.262620368,0,0.1,0.2
346,B,1,1,0.242000538,0,0.1,0.2
346,C,1,2275,555.781759,0,0.1,0.2
346,D,1,0,0,0,0.1,0.2
346,E,1,4683,1189.585097,0,0.1,0.2
347,A,1,1,0.262620368,0,0.1,0.2
347,B,1,1,0.242000538,0,0.1,0.2
347,C,1,2235,546.009772,0,0.1,0.2
347,D,1,0,0,0,0.1,0.2
347,E,1,4869,1236.833192,0,0.1,0.2
348,A,1,1,0.262620368,0,0.1,0.2
348,B,1,1,0.242000538,0,0.1,0.2
348,C,1,2145,524.0228013,0,0.1,0.2
348,D,1,0,0,0,0.1,0.2
348,E,1,4595,1167.23116,0,0.1,0.2
349,A,1,5,1.313101838,0,0.1,0.2
349,B,1,0,0,0,0.1,0.2
349,C,1,3128,764.1693811,0,0.1,0.2
349,D,1,0,0,0,0.1,0.2
349,E,1,6478,1645.554615,0,0.1,0.2
350,A,1,4,1.050481471,0,0.1,0.2
350,B,1,0,0,0,0.1,0.2
350,C,1,3122,762.7035831,0,0.1,0.2
350,D,1,0,0,0,0.1,0.2
350,E,1,6620,1681.625741,0,0.1,0.2
351,A,1,3,0.787861103,0,0.1,0.2
351,B,1,0,0,0,0.1,0.2
351,C,1,2210,539.9022801,0,0.1,0.2
351,D,1,0,0,0,0.1,0.2
351,E,1,4665,1185.012701,0,0.1,0.2
352,A,1,3,0.787861103,0,0.1,0.2
352,B,1,0,0,0,0.1,0.2
352,C,1,2104,514.0065147,0,0.1,0.2
352,D,1,0,0,0,0.1,0.2
352,E,1,4444,1128.873836,0,0.1,0.2
353,A,1,3,0.787861103,0,0.1,0.2
353,B,1,0,0,0,0.1,0.2
353,C,1,1980,483.713355,0,0.1,0.2
353,D,1,0,0,0,0.1,0.2
353,E,1,4193,1065.11431,0,0.1,0.2
354,A,1,5,1.313101838,0,0.1,0.2
354,B,1,0,0,0,0.1,0.2
354,C,1,2010,491.0423453,0,0.1,0.2
354,D,1,0,0,0,0.1,0.2
354,E,1,4364,1108.552075,0,0.1,0.2
355,A,1,7,1.838342574,0,0.1,0.2
355,B,1,0,0,0,0.1,0.2
355,C,1,2503,611.4820847,0,0.1,0.2
355,D,1,0,0,0,0.1,0.2
355,E,1,5396,1370.702794,0,0.1,0.2
END SIM,,,,,,,
344,A,1,303,79.5739714,0,0.1,0.2
344,B,1,30,7.260016133,0,0.1,0.2
344,C,1,2999,732.6547231,0,0.1,0.2
344,D,1,0,0,0,0.1,0.2
344,E,1,33629,8542.506351,0,0.1,0.2
345,A,1,299,78.52348993,0,0.1,0.2
345,B,1,30,7.260016133,0,0.1,0.2
345,C,1,2953,721.4169381,0,0.1,0.2
345,D,1,0,0,0,0.1,0.2
345,E,1,33116,8412.193057,0,0.1,0.2
346,A,1,287,75.37204552,0,0.1,0.2
346,B,1,27,6.53401452,0,0.1,0.2
346,C,1,2857,697.9641694,0,0.1,0.2
346,D,1,0,0,0,0.1,0.2
346,E,1,31855,8091.871296,0,0.1,0.2
347,A,1,302,79.31135104,0,0.1,0.2
347,B,1,24,5.808012907,0,0.1,0.2
347,C,1,2912,711.4006515,0,0.1,0.2
347,D,1,0,0,0,0.1,0.2
347,E,1,32613,8284.419983,0,0.1,0.2
348,A,1,285,74.84680479,0,0.1,0.2
348,B,1,20,4.840010756,0,0.1,0.2
348,C,1,2743,670.1140065,0,0.1,0.2
348,D,1,0,0,0,0.1,0.2
348,E,1,30483,7743.353091,0,0.1,0.2
349,A,1,450,118.1791655,0,0.1,0.2
349,B,1,28,6.776015058,0,0.1,0.2
349,C,1,4160,1016.286645,0,0.1,0.2
349,D,1,0,0,0,0.1,0.2
349,E,1,43372,11017.44285,0,0.1,0.2
350,A,1,464,121.8558506,0,0.1,0.2
350,B,1,25,6.050013444,0,0.1,0.2
350,C,1,4198,1025.570033,0,0.1,0.2
350,D,1,0,0,0,0.1,0.2
350,E,1,44004,11177.98476,0,0.1,0.2
351,A,1,344,90.34140648,0,0.1,0.2
351,B,1,19,4.598010218,0,0.1,0.2
351,C,1,3052,745.6026059,0,0.1,0.2
351,D,1,0,0,0,0.1,0.2
351,E,1,31259,7940.474174,0,0.1,0.2
352,A,1,327,85.87686023,0,0.1,0.2
352,B,1,16,3.872008604,0,0.1,0.2
352,C,1,2907,710.1791531,0,0.1,0.2
352,D,1,0,0,0,0.1,0.2
352,E,1,29720,7549.534293,0,0.1,0.2
353,A,1,310,81.41231398,0,0.1,0.2
353,B,1,14,3.388007529,0,0.1,0.2
353,C,1,2744,670.3583062,0,0.1,0.2
353,D,1,0,0,0,0.1,0.2
353,E,1,28117,7142.337003,0,0.1,0.2
354,A,1,339,89.02830464,0,0.1,0.2
354,B,1,19,4.598010218,0,0.1,0.2
354,C,1,2792,682.0846906,0,0.1,0.2
354,D,1,0,0,0,0.1,0.2
354,E,1,29073,7385.182049,0,0.1,0.2
355,A,1,401,105.3107674,0,0.1,0.2
355,B,1,21,5.082011293,0,0.1,0.2
355,C,1,3452,843.3224756,0,0.1,0.2
355,D,1,0,0,0,0.1,0.2
355,E,1,35835,9102.878916,0,0.1,0.2
END SIM,,,,,,,
344,A,1,407,106.8864896,0,0.1,0.2
344,B,1,18,4.35600968,0,0.1,0.2
344,C,1,6728,1643.648208,0,0.1,0.2
344,D,1,0,0,0,0.1,0.2
344,E,1,38091,9675.952583,0,0.1,0.2
345,A,1,397,104.260286,0,0.1,0.2
345,B,1,18,4.35600968,0,0.1,0.2
345,C,1,6618,1616.775244,0,0.1,0.2
345,D,1,0,0,0,0.1,0.2
345,E,1,37494,9524.301439,0,0.1,0.2
346,A,1,383,100.5836008,0,0.1,0.2
346,B,1,16,3.872008604,0,0.1,0.2
346,C,1,6363,1554.478827,0,0.1,0.2
346,D,1,0,0,0,0.1,0.2
346,E,1,36141,9180.609653,0,0.1,0.2
347,A,1,389,102.159323,0,0.1,0.2
347,B,1,16,3.872008604,0,0.1,0.2
347,C,1,6465,1579.397394,0,0.1,0.2
347,D,1,0,0,0,0.1,0.2
347,E,1,36987,9395.512278,0,0.1,0.2
348,A,1,375,98.48263788,0,0.1,0.2
348,B,1,21,5.082011293,0,0.1,0.2
348,C,1,6163,1505.618893,0,0.1,0.2
348,D,1,0,0,0,0.1,0.2
348,E,1,34945,8876.799323,0,0.1,0.2
349,A,1,550,144.4412022,0,0.1,0.2
349,B,1,28,6.776015058,0,0.1,0.2
349,C,1,9105,2224.348534,0,0.1,0.2
349,D,1,0,0,0,0.1,0.2
349,E,1,49324,12529.38188,0,0.1,0.2
350,A,1,567,148.9057485,0,0.1,0.2
350,B,1,27,6.53401452,0,0.1,0.2
350,C,1,9219,2252.198697,0,0.1,0.2
350,D,1,0,0,0,0.1,0.2
350,E,1,49925,12682.04911,0,0.1,0.2
351,A,1,405,106.3612489,0,0.1,0.2
351,B,1,20,4.840010756,0,0.1,0.2
351,C,1,6667,1628.745928,0,0.1,0.2
351,D,1,0,0,0,0.1,0.2
351,E,1,35402,8992.887384,0,0.1,0.2
352,A,1,382,100.3209804,0,0.1,0.2
352,B,1,17,4.114009142,0,0.1,0.2
352,C,1,6342,1549.348534,0,0.1,0.2
352,D,1,0,0,0,0.1,0.2
352,E,1,33758,8575.275191,0,0.1,0.2
353,A,1,354,92.96761015,0,0.1,0.2
353,B,1,14,3.388007529,0,0.1,0.2
353,C,1,5978,1460.423453,0,0.1,0.2
353,D,1,0,0,0,0.1,0.2
353,E,1,31895,8102.032176,0,0.1,0.2
354,A,1,354,92.96761015,0,0.1,0.2
354,B,1,17,4.114009142,0,0.1,0.2
354,C,1,6043,1476.302932,0,0.1,0.2
354,D,1,0,0,0,0.1,0.2
354,E,1,33076,8402.032176,0,0.1,0.2
355,A,1,438,115.027721,0,0.1,0.2
355,B,1,20,4.840010756,0,0.1,0.2
355,C,1,7469,1824.674267,0,0.1,0.2
355,D,1,0,0,0,0.1,0.2
355,E,1,40525,10294.24217,0,0.1,0.2
END SIM,,,,,,,
344,A,1,869,228.2170995,0,0.1,0.2
344,B,1,59,14.27803173,0,0.1,0.2
344,C,1,5804,1417.915309,0,0.1,0.2
344,D,1,9,3.225806452,0,0.1,0.2
344,E,1,41413,10519.81372,0,0.1,0.2
345,A,1,853,224.0151736,0,0.1,0.2
345,B,1,58,14.03603119,0,0.1,0.2
345,C,1,5718,1396.905537,0,0.1,0.2
345,D,1,9,3.225806452,0,0.1,0.2
345,E,1,40752,10351.90517,0,0.1,0.2
346,A,1,818,214.8234608,0,0.1,0.2
346,B,1,56,13.55203012,0,0.1,0.2
346,C,1,5490,1341.205212,0,0.1,0.2
346,D,1,9,3.225806452,0,0.1,0.2
346,E,1,39304,9984.081287,0,0.1,0.2
347,A,1,828,217.4496644,0,0.1,0.2
347,B,1,55,13.31002958,0,0.1,0.2
347,C,1,5653,1381.026059,0,0.1,0.2
347,D,1,6,2.150537634,0,0.1,0.2
347,E,1,40149,10198.72989,0,0.1,0.2
348,A,1,790,207.4700905,0,0.1,0.2
348,B,1,51,12.34202743,0,0.1,0.2
348,C,1,5446,1330.456026,0,0.1,0.2
348,D,1,4,1.433691756,0,0.1,0.2
348,E,1,37753,9590.093141,0,0.1,0.2
349,A,1,1162,305.1648672,0,0.1,0.2
349,B,1,67,16.21403603,0,0.1,0.2
