Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,4,1.0504814706740588,0,0,0.3
344,B,1,0,0,0,0,0.3
344,C,1,38,9.283387622149837,0,0,0.3
344,D,1,0,0,0,0,0.3
344,E,1,631,160.28789161727352,0,0,0.3
345,A,1,4,1.0504814706740588,0,0,0.3
345,B,1,0,0,0,0,0.3
345,C,1,38,9.283387622149837,0,0,0.3
345,D,1,0,0,0,0,0.3
345,E,1,623,158.25571549534294,0,0,0.3
346,A,1,4,1.0504814706740588,0,0,0.3
346,B,1,0,0,0,0,0.3
346,C,1,39,9.527687296416937,0,0,0.3
346,D,1,0,0,0,0,0.3
346,E,1,601,152.66723116003388,0,0,0.3
347,A,1,3,0.7878611030055441,0,0,0.3
347,B,1,0,0,0,0,0.3
347,C,1,40,9.771986970684038,0,0,0.3
347,D,1,0,0,0,0,0.3
347,E,1,628,159.52582557154955,0,0,0.3
348,A,1,1,0.2626203676685147,0,0,0.3
348,B,1,1,0.24200053777897282,0,0,0.3
348,C,1,39,9.527687296416937,0,0,0.3
348,D,1,0,0,0,0,0.3
348,E,1,585,148.60287891617273,0,0,0.3
349,A,1,4,1.0504814706740588,0,0,0.3
349,B,1,0,0,0,0,0.3
349,C,1,47,11.482084690553744,0,0,0.3
349,D,1,0,0,0,0,0.3
349,E,1,771,195.85097375105843,0,0,0.3
350,A,1,2,0.5252407353370294,0,0,0.3
350,B,1,0,0,0,0,0.3
350,C,1,46,11.237785016286644,0,0,0.3
350,D,1,0,0,0,0,0.3
350,E,1,756,192.04064352243861,0,0,0.3
351,A,1,1,0.2626203676685147,0,0,0.3
351,B,1,0,0,0,0,0.3
351,C,1,29,7.0846905537459275,0,0,0.3
351,D,1,0,0,0,0,0.3
351,E,1,568,144.28450465707027,0,0,0.3
352,A,1,1,0.2626203676685147,0,0,0.3
352,B,1,0,0,0,0,0.3
352,C,1,27,6.596091205211726,0,0,0.3
352,D,1,0,0,0,0,0.3
352,E,1,548,139.20406435224388,0,0,0.3
353,A,1,1,0.2626203676685147,0,0,0.3
353,B,1,0,0,0,0,0.3
353,C,1,26,6.351791530944625,0,0,0.3
353,D,1,0,0,0,0,0.3
353,E,1,520,132.09144792548688,0,0,0.3
354,A,1,1,0.2626203676685147,0,0,0.3
354,B,1,0,0,0,0,0.3
354,C,1,25,6.107491856677524,0,0,0.3
354,D,1,0,0,0,0,0.3
354,E,1,534,135.64775613886536,0,0,0.3
355,A,1,3,0.7878611030055441,0,0,0.3
355,B,1,0,0,0,0,0.3
355,C,1,33,8.061889250814332,0,0,0.3
355,D,1,0,0,0,0,0.3
355,E,1,670,170.194750211685,0,0,0.3
END SIM
344,A,1,86,22.585351619492265,0,0,0.3
344,B,1,1,0.24200053777897282,0,0,0.3
344,C,1,3,0.7328990228013028,0,0,0.3
344,D,1,0,0,0,0,0.3
344,E,1,1469,373.15834038950044,0,0,0.3
345,A,1,86,22.585351619492265,0,0,0.3
345,B,1,1,0.24200053777897282,0,0,0.3
345,C,1,3,0.7328990228013028,0,0,0.3
345,D,1,0,0,0,0,0.3
345,E,1,1451,368.5859441151567,0,0,0.3
346,A,1,84,22.060110884155236,0,0,0.3
346,B,1,1,0.24200053777897282,0,0,0.3
346,C,1,3,0.7328990228013028,0,0,0.3
346,D,1,0,0,0,0,0.3
346,E,1,1388,352.58255715495346,0,0,0.3
347,A,1,88,23.110592354829297,0,0,0.3
347,B,1,0,0,0,0,0.3
347,C,1,3,0.7328990228013028,0,0,0.3
347,D,1,0,0,0,0,0.3
347,E,1,1477,375.190516511431,0,0,0.3
348,A,1,86,22.585351619492265,0,0,0.3
348,B,1,2,0.48400107555794564,0,0,0.3
348,C,1,3,0.7328990228013028,0,0,0.3
348,D,1,0,0,0,0,0.3
348,E,1,1309,332.5148179508891,0,0,0.3
349,A,1,108,28.36299970819959,0,0,0.3
349,B,1,3,0.7260016133369185,0,0,0.3
349,C,1,2,0.4885993485342019,0,0,0.3
349,D,1,0,0,0,0,0.3
349,E,1,1807,459.0177815410669,0,0,0.3
350,A,1,112,29.41348117887365,0,0,0.3
350,B,1,2,0.48400107555794564,0,0,0.3
350,C,1,2,0.4885993485342019,0,0,0.3
350,D,1,0,0,0,0,0.3
350,E,1,1764,448.0948348856901,0,0,0.3
351,A,1,78,20.48438867814415,0,0,0.3
351,B,1,2,0.48400107555794564,0,0,0.3
351,C,1,2,0.4885993485342019,0,0,0.3
351,D,1,0,0,0,0,0.3
351,E,1,1260,320.06773920406437,0,0,0.3
352,A,1,75,19.696527575138603,0,0,0.3
352,B,1,2,0.48400107555794564,0,0,0.3
352,C,1,2,0.4885993485342019,0,0,0.3
352,D,1,0,0,0,0,0.3
352,E,1,1205,306.0965283657917,0,0,0.3
353,A,1,67,17.595564633790488,0,0,0.3
353,B,1,2,0.48400107555794564,0,0,0.3
353,C,1,2,0.4885993485342019,0,0,0.3
353,D,1,0,0,0,0,0.3
353,E,1,1144,290.60118543607115,0,0,0.3
354,A,1,67,17.595564633790488,0,0,0.3
354,B,1,1,0.24200053777897282,0,0,0.3
354,C,1,3,0.7328990228013028,0,0,0.3
354,D,1,0,0,0,0,0.3
354,E,1,1150,292.1253175275191,0,0,0.3
355,A,1,82,21.534870148818207,0,0,0.3
355,B,1,1,0.24200053777897282,0,0,0.3
355,C,1,3,0.7328990228013028,0,0,0.3
355,D,1,0,0,0,0,0.3
355,E,1,1459,370.6181202370872,0,0,0.3
END SIM
344,A,1,0,0,0,0,0.3
344,B,1,1,0.24200053777897282,0,0,0.3
344,C,1,233,56.921824104234524,0,0,0.3
344,D,1,0,0,0,0,0.3
344,E,1,1099,279.1701947502117,0,0,0.3
345,A,1,0,0,0,0,0.3
345,B,1,1,0.24200053777897282,0,0,0.3
345,C,1,225,54.96742671009771,0,0,0.3
345,D,1,0,0,0,0,0.3
345,E,1,1080,274.3437764606266,0,0,0.3
346,A,1,0,0,0,0,0.3
346,B,1,1,0.24200053777897282,0,0,0.3
346,C,1,218,53.25732899022801,0,0,0.3
346,D,1,0,0,0,0,0.3
346,E,1,1040,264.18289585097375,0,0,0.3
347,A,1,0,0,0,0,0.3
347,B,1,1,0.24200053777897282,0,0,0.3
347,C,1,232,56.67752442996742,0,0,0.3
347,D,1,0,0,0,0,0.3
347,E,1,1076,273.3276883996613,0,0,0.3
348,A,1,1,0.2626203676685147,0,0,0.3
348,B,1,2,0.48400107555794564,0,0,0.3
348,C,1,197,48.12703583061889,0,0,0.3
348,D,1,0,0,0,0,0.3
348,E,1,995,252.75190516511432,0,0,0.3
349,A,1,2,0.5252407353370294,0,0,0.3
349,B,1,0,0,0,0,0.3
349,C,1,295,72.06840390879478,0,0,0.3
349,D,1,0,0,0,0,0.3
349,E,1,1278,324.6401354784081,0,0,0.3
350,A,1,5,1.3131018383425737,0,0,0.3
350,B,1,0,0,0,0,0.3
350,C,1,298,72.80130293159608,0,0,0.3
350,D,1,0,0,0,0,0.3
350,E,1,1217,309.1447925486876,0,0,0.3
351,A,1,4,1.0504814706740588,0,0,0.3
351,B,1,0,0,0,0,0.3
351,C,1,223,54.47882736156351,0,0,0.3
351,D,1,0,0,0,0,0.3
351,E,1,877,222.77730736663844,0,0,0.3
352,A,1,4,1.0504814706740588,0,0,0.3
352,B,1,0,0,0,0,0.3
352,C,1,206,50.325732899022796,0,0,0.3
352,D,1,0,0,0,0,0.3
352,E,1,831,211.09229466553768,0,0,0.3
353,A,1,4,1.0504814706740588,0,0,0.3
353,B,1,0,0,0,0,0.3
353,C,1,187,45.68403908794788,0,0,0.3
353,D,1,0,0,0,0,0.3
353,E,1,787,199.91532599491956,0,0,0.3
354,A,1,5,1.3131018383425737,0,0,0.3
354,B,1,0,0,0,0,0.3
354,C,1,191,46.66123778501628,0,0,0.3
354,D,1,0,0,0,0,0.3
354,E,1,809,205.50381033022862,0,0,0.3
355,A,1,6,1.5757222060110883,0,0,0.3
355,B,1,2,0.48400107555794564,0,0,0.3
355,C,1,228,55.70032573289902,0,0,0.3
355,D,1,0,0,0,0,0.3
355,E,1,1016,258.08636748518205,0,0,0.3
END SIM
344,A,1,43,11.292675809746132,0,0,0.3
344,B,1,2,0.48400107555794564,0,0,0.3
344,C,1,205,50.0814332247557,0,0,0.3
344,D,1,0,0,0,0,0.3
344,E,1,1670,424.21676545300596,0,0,0.3
345,A,1,42,11.030055442077618,0,0,0.3
345,B,1,2,0.48400107555794564,0,0,0.3
345,C,1,201,49.10423452768729,0,0,0.3
345,D,1,0,0,0,0,0.3
345,E,1,1637,415.8340389500423,0,0,0.3
346,A,1,41,10.767435074409104,0,0,0.3
346,B,1,1,0.24200053777897282,0,0,0.3
346,C,1,197,48.12703583061889,0,0,0.3
346,D,1,0,0,0,0,0.3
346,E,1,1588,403.3869602032176,0,0,0.3
347,A,1,42,11.030055442077618,0,0,0.3
347,B,1,2,0.48400107555794564,0,0,0.3
347,C,1,205,50.0814332247557,0,0,0.3
347,D,1,0,0,0,0,0.3
347,E,1,1698,431.32938187976293,0,0,0.3
348,A,1,36,9.45433323606653,0,0,0.3
348,B,1,2,0.48400107555794564,0,0,0.3
348,C,1,180,43.97394136807817,0,0,0.3
348,D,1,0,0,0,0,0.3
348,E,1,1546,392.71803556308214,0,0,0.3
349,A,1,56,14.706740589436825,0,0,0.3
349,B,1,3,0.7260016133369185,0,0,0.3
349,C,1,274,66.93811074918567,0,0,0.3
349,D,1,0,0,0,0,0.3
349,E,1,2061,523.5393734123625,0,0,0.3
350,A,1,55,14.44412022176831,0,0,0.3
350,B,1,2,0.48400107555794564,0,0,0.3
350,C,1,272,66.44951140065146,0,0,0.3
350,D,1,0,0,0,0,0.3
350,E,1,2000,508.04403048264186,0,0,0.3
351,A,1,44,11.555296177414649,0,0,0.3
351,B,1,1,0.24200053777897282,0,0,0.3
351,C,1,200,48.85993485342019,0,0,0.3
351,D,1,0,0,0,0,0.3
351,E,1,1440,365.79170194750213,0,0,0.3
352,A,1,40,10.50481470674059,0,0,0.3
352,B,1,1,0.24200053777897282,0,0,0.3
352,C,1,187,45.68403908794788,0,0,0.3
352,D,1,0,0,0,0,0.3
352,E,1,1370,348.01016088060965,0,0,0.3
353,A,1,36,9.45433323606653,0,0,0.3
353,B,1,1,0.24200053777897282,0,0,0.3
353,C,1,186,45.439739413680776,0,0,0.3
353,D,1,0,0,0,0,0.3
353,E,1,1288,327.18035563082134,0,0,0.3
354,A,1,40,10.50481470674059,0,0,0.3
354,B,1,1,0.24200053777897282,0,0,0.3
354,C,1,187,45.68403908794788,0,0,0.3
354,D,1,0,0,0,0,0.3
354,E,1,1300,330.2286198137172,0,0,0.3
355,A,1,47,12.343157280420192,0,0,0.3
355,B,1,1,0.24200053777897282,0,0,0.3
355,C,1,239,58.38762214983713,0,0,0.3
355,D,1,0,0,0,0,0.3
355,E,1,1626,413.03979678238784,0,0,0.3
END SIM
344,A,1,32,8.40385176539247,0,0,0.3
344,B,1,2,0.48400107555794564,0,0,0.3
344,C,1,119,29.071661237785012,0,0,0.3
344,D,1,0,0,0,0,0.3
344,E,1,2841,721.6765453005927,0,0,0.3
345,A,1,32,8.40385176539247,0,0,0.3
345,B,1,2,0.48400107555794564,0,0,0.3
345,C,1,114,27.85016286644951,0,0,0.3
345,D,1,0,0,0,0,0.3
345,E,1,2801,711.51566469094,0,0,0.3
346,A,1,31,8.141231397723956,0,0,0.3
346,B,1,2,0.48400107555794564,0,0,0.3
346,C,1,111,27.117263843648207,0,0,0.3
346,D,1,0,0,0,0,0.3
346,E,1,2703,686.6215071972905,0,0,0.3
347,A,1,32,8.40385176539247,0,0,0.3
347,B,1,2,0.48400107555794564,0,0,0.3
347,C,1,110,26.872964169381106,0,0,0.3
347,D,1,0,0,0,0,0.3
347,E,1,2812,714.3099068585944,0,0,0.3
348,A,1,34,8.929092500729501,0,0,0.3
348,B,1,4,0.9680021511158913,0,0,0.3
348,C,1,104,25.4071661237785,0,0,0.3
348,D,1,0,0,0,0,0.3
348,E,1,2554,648.7722269263336,0,0,0.3
349,A,1,39,10.242194339072075,0,0,0.3
349,B,1,4,0.9680021511158913,0,0,0.3
349,C,1,162,39.576547231270354,0,0,0.3
349,D,1,0,0,0,0,0.3
349,E,1,3495,887.8069432684166,0,0,0.3
350,A,1,40,10.50481470674059,0,0,0.3
350,B,1,4,0.9680021511158913,0,0,0.3
350,C,1,156,38.11074918566775,0,0,0.3
350,D,1,0,0,0,0,0.3
350,E,1,3374,857.0702794242168,0,0,0.3
351,A,1,29,7.615990662386927,0,0,0.3
351,B,1,3,0.7260016133369185,0,0,0.3
351,C,1,119,29.071661237785012,0,0,0.3
351,D,1,0,0,0,0,0.3
351,E,1,2415,613.46316680779,0,0,0.3
352,A,1,28,7.353370294718412,0,0,0.3
352,B,1,3,0.7260016133369185,0,0,0.3
352,C,1,117,28.58306188925081,0,0,0.3
352,D,1,0,0,0,0,0.3
352,E,1,2307,586.0287891617273,0,0,0.3
353,A,1,25,6.565509191712868,0,0,0.3
353,B,1,2,0.48400107555794564,0,0,0.3
353,C,1,108,26.384364820846905,0,0,0.3
353,D,1,0,0,0,0,0.3
353,E,1,2185,555.0381033022862,0,0,0.3
354,A,1,24,6.302888824044353,0,0,0.3
354,B,1,2,0.48400107555794564,0,0,0.3
354,C,1,115,28.09446254071661,0,0,0.3
354,D,1,0,0,0,0,0.3
354,E,1,2245,570.2794242167655,0,0,0.3
355,A,1,30,7.878611030055442,0,0,0.3
355,B,1,2,0.48400107555794564,0,0,0.3
355,C,1,138,33.71335504885993,0,0,0.3
355,D,1,0,0,0,0,0.3
355,E,1,2851,724.2167654530059,0,0,0.3
END SIM
344,A,1,2,0.5252407353370294,0,0,0.3
344,B,1,1,0.24200053777897282,0,0,0.3
344,C,1,96,23.45276872964169,0,0,0.3
344,D,1,0,0,0,0,0.3
344,E,1,998,253.5139712108383,0,0,0.3
345,A,1,2,0.5252407353370294,0,0,0.3
345,B,1,1,0.24200053777897282,0,0,0.3
345,C,1,94,22.96416938110749,0,0,0.3
345,D,1,0,0,0,0,0.3
345,E,1,987,250.71972904318375,0,0,0.3
346,A,1,2,0.5252407353370294,0,0,0.3
346,B,1,1,0.24200053777897282,0,0,0.3
346,C,1,95,23.20846905537459,0,0,0.3
346,D,1,0,0,0,0,0.3
346,E,1,945,240.05080440304826,0,0,0.3
347,A,1,1,0.2626203676685147,0,0,0.3
347,B,1,1,0.24200053777897282,0,0,0.3
347,C,1,101,24.674267100977197,0,0,0.3
347,D,1,0,0,0,0,0.3
347,E,1,1003,254.7840812870449,0,0,0.3
348,A,1,3,0.7878611030055441,0,0,0.3
348,B,1,0,0,0,0,0.3
348,C,1,101,24.674267100977197,0,0,0.3
