Month Number,Monitor Number,Species Number,Population,Density,Genetic Diversity,pH Tolerance,Temperature Tolerance
344,A,1,0,0,0,-0.1,0
344,B,1,0,0,0,-0.1,0
344,C,1,105,25.6514658,0,-0.1,0
344,D,1,0,0,0,-0.1,0
344,E,1,110,27.94242168,0,-0.1,0
345,A,1,0,0,0,-0.1,0
345,B,1,0,0,0,-0.1,0
345,C,1,103,25.16286645,0,-0.1,0
345,D,1,0,0,0,-0.1,0
345,E,1,109,27.68839966,0,-0.1,0
346,A,1,0,0,0,-0.1,0
346,B,1,0,0,0,-0.1,0
346,C,1,101,24.6742671,0,-0.1,0
346,D,1,0,0,0,-0.1,0
346,E,1,104,26.41828959,0,-0.1,0
347,A,1,1,0.262620368,0,-0.1,0
347,B,1,0,0,0,-0.1,0
347,C,1,99,24.18566775,0,-0.1,0
347,D,1,0,0,0,-0.1,0
347,E,1,117,29.72057578,0,-0.1,0
348,A,1,0,0,0,-0.1,0
348,B,1,0,0,0,-0.1,0
348,C,1,88,21.49837134,0,-0.1,0
348,D,1,0,0,0,-0.1,0
348,E,1,118,29.9745978,0,-0.1,0
349,A,1,0,0,0,-0.1,0
349,B,1,0,0,0,-0.1,0
349,C,1,135,32.98045603,0,-0.1,0
349,D,1,0,0,0,-0.1,0
349,E,1,151,38.3573243,0,-0.1,0
350,A,1,0,0,0,-0.1,0
350,B,1,0,0,0,-0.1,0
350,C,1,148,36.15635179,0,-0.1,0
350,D,1,0,0,0,-0.1,0
350,E,1,169,42.92972058,0,-0.1,0
351,A,1,0,0,0,-0.1,0
351,B,1,0,0,0,-0.1,0
351,C,1,104,25.40716612,0,-0.1,0
351,D,1,0,0,0,-0.1,0
351,E,1,106,26.92633362,0,-0.1,0
352,A,1,0,0,0,-0.1,0
352,B,1,0,0,0,-0.1,0
352,C,1,98,23.94136808,0,-0.1,0
352,D,1,0,0,0,-0.1,0
352,E,1,99,25.14817951,0,-0.1,0
353,A,1,0,0,0,-0.1,0
353,B,1,0,0,0,-0.1,0
353,C,1,94,22.96416938,0,-0.1,0
353,D,1,0,0,0,-0.1,0
353,E,1,95,24.13209145,0,-0.1,0
354,A,1,0,0,0,-0.1,0
354,B,1,0,0,0,-0.1,0
354,C,1,98,23.94136808,0,-0.1,0
354,D,1,0,0,0,-0.1,0
354,E,1,97,24.64013548,0,-0.1,0
355,A,1,0,0,0,-0.1,0
355,B,1,0,0,0,-0.1,0
355,C,1,126,30.78175896,0,-0.1,0
355,D,1,0,0,0,-0.1,0
355,E,1,125,31.75275191,0,-0.1,0
END SIM,,,,,,,
344,A,1,0,0,0,-0.1,0
344,B,1,0,0,0,-0.1,0
344,C,1,31,7.573289902,0,-0.1,0
344,D,1,0,0,0,-0.1,0
